0-3VW8;8.7523505E16;2.04252388E16;-5.0585463E16;10000011;20000146;30000995;-0.033765033
0-4VQL;2.86608768E17;3.08342832E16;1.19202909E17;10000021;20000263;30001779;-0.48779374
0-6VZ5;1.4852447E17;-3.24875127E16;-1.83175785E17;10000009;20000123;30000838;-0.4991568
0-7XA8;-1.84904853E17;6.2219619E16;-3.27365775E17;10000022;20000281;30001904;-0.06504169
0-9UHT;-3.80448066E17;4.6404298E15;9.8486263E16;10000057;20000658;30004510;-0.025393229
0-ARFO;-3.19850819E17;4.1793627E16;2.57259436E17;10000046;20000538;30003693;-0.5004466
0-BFTQ;-1.42707719E17;1.14431999E17;2.90168712E17;10000015;20000188;30001287;-0.17438835
0-G8NO;1.62493284E17;-3.12574169E16;-2.24079439E17;10000005;20000070;30000480;-0.68659776
0-GZX9;-4.3831121E16;7.9546411E16;1.2627495E17;10000029;20000360;30002454;-0.3027248
0-HDC8;-4.04698138E17;6.0862616E16;-2.78333225E17;10000060;20000695;30004756;-0.72211003
0-MX34;-7.946466E16;-4.7956132E16;-4.71990037E17;10000059;20000683;30004674;-0.08500905
0-N1BJ;2.05665643E17;7.0541187E16;8.4404397E16;10000013;20000168;30001150;-0.13079031
0-NTIS;-4.00584006E17;8.1601888E16;-3.65436571E17;10000063;20000721;30004930;-0.027562285
0-O2UT;-8.2793767E16;1.17052324E17;3.44871889E17;10000015;20000192;30001322;-0.42124644
0-O6XF;-1.24437031E17;9.9501964E14;-3.83539892E17;10000039;20000455;30003114;-0.619791
0-QP56;2.32774171E17;3.6896166E16;1.48493409E17;10000040;20000467;30003198;-0.21043907
0-R5TS;-6.7201047E16;9.8207262E16;1.68139792E17;10000003;20000032;30000222;-0.21862681
0-TRV1;1.77615864E17;7.9321561E16;8.0587588E16;10000013;20000156;30001065;-0.26191327
0-U2M4;1.89881879E17;3.6757649E16;1.62552675E17;10000066;20000759;30005191;-0.89960086
0-UVHJ;-5.761282E16;7.381025E16;4.08748499E17;10000045;20000526;30003615;-0.08172447
0-VG7A;1.49152686E17;-2.4270319E16;-1.51986746E17;10000009;20000117;30000799;-0.43049803
0-W778;1.28760233E17;-1.25805788E16;-1.87457816E17;10000005;20000064;30000440;-0.21746589
